country,cal_region2,event_id,impact,rp
PHL,WP2,2003196N04150,89769325.95,1.0555555555555556
PHL,WP2,1993353N05159,88984870.12,1.027027027027027
PHL,WP2,1988193N09149,86504877.06,1.0
PHL,WP2,2011205N12130,80315874.36,0.9743589743589743
PHL,WP2,1987343N05154,72869420.88,0.95
PHL,WP2,2004174N14146,61254763.09,0.926829268292683
PHL,WP2,1981176N08150,60746740.34,0.9047619047619048
PHL,WP2,2000299N08139,59708228.94,0.8837209302325582
PHL,WP2,2008229N13147,55333794.03,0.8636363636363636
PHL,WP2,1981256N10150,53489704.34,0.8444444444444444
PHL,WP2,2009123N10111,51295833.0,0.8260869565217391
PHL,WP2,1982227N09140,49805902.91,0.8085106382978723
PHL,WP2,2011346N03156,48351024.81,0.7916666666666666
PHL,WP2,1987219N08155,48008089.05,0.7755102040816326
PHL,WP2,2011233N12129,43742174.96,0.76
PHL,WP2,1986343N05176,38111864.49,0.7450980392156863
PHL,WP2,1982190N09148,34481009.7,0.7307692307692307
PHL,WP2,2013220N12137,33951928.59,0.7169811320754716
PHL,WP2,2008104N08128,26139377.16,0.7037037037037037
PHL,WP2,2009299N12153,25686800.03,0.6909090909090909
PHL,WP2,2006298N12143,21137047.49,0.6785714285714286
PHL,WP2,2014254N10142,19183000.0,0.6666666666666666
PHL,WP2,2004319N10134,18687577.08,0.6551724137931034
PHL,WP2,2014362N07130,17688000.0,0.6440677966101694
PHL,WP2,2003144N16119,13566469.09,0.6333333333333333
PHL,WP2,2010191N12138,12369162.52,0.6229508196721312
PHL,WP2,2008262N16142,12122136.16,0.6129032258064516
PHL,WP2,1993322N09137,10468808.25,0.6031746031746031
PHL,WP2,2007324N10140,9526803.663,0.59375
PHL,WP2,2006128N09138,7749707.397000001,0.5846153846153846
PHL,WP2,2007306N18133,5660826.7370000025,0.5671641791044776
