year,emdat_eventcountry_id,country,type,emdat_impact_scaled,event_id
2017,2017-0287-CHN,CHN,Flood (General),44175.0,2017-0287
2018,2018-0198-CHN,CHN,Flood (General),2039555.0,2018-0198
2018,2018-0369-CHN,CHN,Flood (General),920713.0,2018-0369
2018,2018-0250-CHN,CHN,Flood (General),910554.0,2018-0250
2018,2018-0252-CHN,CHN,Flood (General),618497.0,2018-0252
2018,2018-0210-CHN,CHN,Flood (General),434717.0,2018-0210
2018,2018-0282-CHN,CHN,Riverine flood,323998.0,2018-0282
2018,2018-0211-CHN,CHN,Flood (General),78086.0,2018-0211
2019,2019-0209-CHN,CHN,Flood (General),7097232.0,2019-0209
2019,2019-0469-CHN,CHN,Riverine flood,360585.0,2019-0469
2019,2019-0611-CHN,CHN,Flood (General),103024.0,2019-0611
2020,2020-0322-CHN,CHN,Flood (General),19223019.0,2020-0322
2020,2020-0581-CHN,CHN,Flood (General),5427676.0,2020-0581
2021,2021-0428-CHN,CHN,Flood (General),17820462.0,2021-0428
2021,2021-0380-CHN,CHN,Flood (General),173885.0,2021-0380
2022,2022-0316-CHN,CHN,Flood (General),5000000.0,2022-0316
2023,2023-0285-CHN,CHN,Flood (General),,2023-0285
2012,2012-0362-CMR,CMR,Riverine flood,2549.0,2012-0362
1998,1998-0397-COG,COG,Riverine flood,106.0,1998-0397
1997,1997-0569-COL,COL,Riverine flood,5470.0,1997-0569
1999,1999-0372-COL,COL,Flood (General),5.0,1999-0372
2005,2005-0083-COL,COL,Riverine flood,14986.0,2005-0083
2010,2010-0168-COL,COL,Riverine flood,1342112.0,2010-0168
2011,2011-0386-COL,COL,Riverine flood,1678341.0,2011-0386
2011,2011-0132-COL,COL,Riverine flood,1340071.0,2011-0132
2012,2012-0238-COL,COL,Riverine flood,79029.0,2012-0238
2012,2012-0187-COL,COL,Riverine flood,50987.0,2012-0187
2013,2013-0513-COL,COL,Riverine flood,2513.0,2013-0513
2014,2014-0505-COL,COL,Riverine flood,9890.0,2014-0505
2017,2017-0215-COL,COL,Riverine flood,2388.0,2017-0215
2020,2020-0477-COL,COL,Flood (General),28269.0,2020-0477
2020,2020-0317-COL,COL,Flood (General),11308.0,2020-0317
2022,2022-0109-COL,COL,Flood (General),11000.0,2022-0109
2012,2012-0113-COM,COM,Riverine flood,6373.0,2012-0113
